GO:0005575,GO:0005634,GO:0005730,GO:0005615,GO:0031410,GO:0005576,GO:0043025,GO:0043204,GO:0034774,GO:0060205,GO:0016020,GO:0016021,GO:0000139,GO:0005794,GO:0030173,GO:0005739,GO:0005741,GO:0005743,GO:0001401,GO:0061617,GO:0005886,GO:0005887,GO:0005759,GO:0005947,GO:0005829,GO:0005737,GO:0030141,GO:0062023,GO:0005732,GO:0005783,GO:0005789,GO:0030176,GO:0048500,GO:0005785,GO:0000839,GO:0032040,GO:0034388,GO:0005788,GO:0009897,GO:0032991,GO:0030027,GO:0005856,GO:0005793,GO:0042470,GO:0034663,GO:0016222,GO:0005654,GO:0016604,GO:0005925,GO:0016607,GO:0014069,GO:0070877,GO:0030054,GO:0042995,GO:0030424,GO:0031463,GO:0005912,GO:0030057,GO:0005787,GO:0043231,GO:0031090
GO:0016020,0,0.00516307758684223,0.00279419161154913,0.00333167143456764,0.00360614645331408,0.00386833673101622,0.00270554480801805,0.0020970893680609,0.00151277516026567,0.00154822701456526,0.736212587620072,0.508596514183356,0.273597864629742,0.00319166562436961,0.223533018530733,0.00369945513411678,0.263715376096373,0.31258016423131,0.173464023982677,0.189468660702967,0.548907644653361,0.382086845244907,0.00241292597463267,0.00149182200908832,0.00362779268963117,0.00632393376721677,0.00251547472170255,0.00254613826280281,0,0.00320223958024032,0.314878020074082,0.258078298444129,0.00168104689561859,0.173464023982677,0.180983954484966,0,0.00149182200908832,0.00195825711533163,0.308237822015685,0,0.00217949897780045,0.00382705389278672,0.00197670752346488,0.0018663955496065,0.00164583441167786,0.00140435734958749,0.00354108433524687,0.00267490767272082,0.00217949897780045,0.002356311808058,0.00253698358097426,0.00140435734958749,0.00409861888958736,0.00399392376098679,0.00284897502463302,0,0.00195825711533163,0.00179837416206025,0.178781989829656,0.00617297783400574,0.418609160457297
GO:0016021,0,0.00376613108493804,0.00232705982175711,0.00268823567149251,0.00286413238512647,0.00302708711039187,0.00226524745624731,0.00182251294055908,0.00136448299594914,0.00139325896136874,0.508596514183356,0.919973667618588,0.234582580650544,0.00259633992721121,0.466021931551548,0.00292268083539292,0.227280019849899,0.262669111586919,0.156917488513184,0.402339257854097,0.411574812251179,0.734269884276302,0.00205644469796494,0.00134741325637657,0.00287777023098111,0.00434837487246073,0.00213046623399742,0.00215242066441055,0,0.0026033328306882,0.26428983341366,0.528275419690967,0.00149990486429972,0.156917488513184,0.163045865541432,0,0.00134741325637657,0.00171673901630521,0.259595962404654,0,0.0018844365686223,0.00300174866630794,0.00173090252119937,0.00164572846281531,0.0014718087799918,0.00127565497774831,0.00282293753537079,0.00224373098419656,0.0018844365686223,0.0020151799470405,0.00214587467764728,0.00127565497774831,0.00316629866371105,0.0031034514539704,0.00236493290223111,0,0.00171673901630521,0.00159261191005653,0.161256604095533,0.00427646637794345,0.333694280507328
GO:0000139,0,0.260983096219877,0.192886473588439,0.00174954694015035,0.20590138055635,0.00188702053898759,0.00155996937221101,0.00133640117295538,0.297553685439573,0.123167109643385,0.273597864629742,0.234582580650544,0.997088602900271,0.780475606117883,0.876528440242076,0.224067784073334,0.675917574018721,0.600454458339423,0.510499708546273,0.435668796388607,0.242807079102404,0.203504261521144,0.17698296926341,0.128894124755719,0.206524121878052,0.263026080753536,0.414756395878392,0.0015056192330131,0,0.475336703547668,0.603016056630856,0.534720682321571,0.130422786087715,0.510499708546273,0.421887332585976,0,0.128894124755719,0.354767032420135,0.180474657211509,0,0.00136939789150208,0.141006361395364,0.156159647316524,0.139967611990738,0.315644179086699,0.282113902647106,0.219176679651447,0.188115838202598,0.00136939789150208,0.174450270237195,0.10016446898964,0.123422726523211,0.0019401971898393,0.00191641647344857,0.00160660551313379,0.0472712078471336,0.00127863327441217,0.00120848153935634,0.418248513601755,0.280062959679256,0.704296485710124
GO:0005794,0,0.350347405380554,0.237696776928527,0.00220780089566156,0.262697219709915,0.00243132252499215,0.00191423802793691,0.00158820623941582,0.340930156493719,0.141462315383369,0.00319166562436961,0.00259633992721121,0.780475606117883,0.97912880614175,0.669678316265091,0.286896370920164,0.201996587507074,0.22865299099394,0.145530435691532,0.156315863699163,0.00271670652313343,0.00216405716580664,0.213999638099829,0.147471973938324,0.26371174432601,0.363388709819036,0.504167486345046,0.00183304146176254,0,0.596592533583587,0.525374853603603,0.454314072806366,0.151118084832799,0.332646671511917,0.344333005697265,0,0.147471973938324,0.418206150320893,0.00186497657233545,0,0.00163502673492548,0.181405068029498,0.184286042996951,0.164082913592826,0.364891812903255,0.320812906469724,0.278926558581793,0.23049348465619,0.00163502673492548,0.210307747940046,0.121890476525089,0.140353251820628,0.00252032404830078,0.00248034271772702,0.00198494153230509,0.055231729773152,0.00150727731299128,0.00141074055538435,0.340930156493719,0.385613587242654,0.228644655654025
GO:0030173,0,0.216044836418006,0.167184946695128,0.00149628606090958,0.175040594317504,0.00159570870776109,0.00135541194146213,0.00118339952148231,0.269583854564631,0.111416675954318,0.223533018530733,0.466021931551548,0.876528440242076,0.669678316265091,0.999415866186997,0.190116300618378,0.595811500129696,0.522611303612475,0.463439743469799,0.650331050621882,0.202547693269722,0.413098325399609,0.155104547566534,0.116886491238856,0.175490446570211,0.214676540355967,0.362353405873242,0.00131419271860972,0,0.407754714571126,0.524550707898849,0.780872143985411,0.117320791756922,0.463439743469799,0.381917894018107,0,0.116886491238856,0.315712962728914,0.157243659252689,0,0.00120920036521529,0.119334710667201,0.138875270776476,0.124987868905483,0.284348826232523,0.256848186085411,0.186583447030513,0.163589104405008,0.00120920036521529,0.153155875971676,0.0874530949679256,0.112369164127501,0.00163356950149263,0.0016166786906838,0.00139048179035704,0.0422996055655043,0.00113787658496514,0.00108198226250117,0.378933456314345,0.228957189260596,0.599549379319138
GO:0005739,0,0.399997079122597,0.259554918222828,0.00243942040149541,0.291883194914025,0.00271523068897039,0.00208596199169914,0.00170463689872526,0.146576936739195,0.14951293232234,0.00369945513411678,0.00292268083539292,0.224067784073334,0.286896370920164,0.190116300618378,0.957376775581352,0.652226882425418,0.74588498079717,0.459991609530974,0.496080785021978,0.0030761014607267,0.00238612772702718,0.694163066235957,0.466466722480183,0.29313620971398,0.421720574700129,0.222707231366786,0.0019899093911214,0,0.287599624181349,0.205078640546158,0.1752389917702,0.160341055346449,0.15344193068118,0.159136483556196,0,0.155601869714239,0.195644090046293,0.00202760045859534,0,0.00175869061791409,0.202428751419502,0.197158727488242,0.175013529232869,0.169207513681041,0.147697659320396,0.309513037888657,0.250989779723817,0.00175869061791409,0.22723941031635,0.132292278590472,0.147697659320396,0.00282670791451227,0.00277651185404216,0.00217019905991161,0.0588225753963542,0.00161175428307503,0.00150185868484183,0.129064241662027,0.446632314243898,0.253722447640938
GO:0005741,0,0.252205676206669,0.188049501249149,0.00170136431440087,0.200001527649607,0.00183108939282434,0.00152154831040225,0.00130810376927545,0.119100228667806,0.121031403813281,0.263715376096373,0.227280019849899,0.675917574018721,0.201996587507074,0.595811500129696,0.652226882425418,0.997774728331417,0.818746600666753,0.757667953390239,0.598044788655085,0.234992013808239,0.197985704866856,0.518330320949398,0.37987229799957,0.200589041565032,0.253474363300347,0.164904014315484,0.00146979801446881,0,0.202344952730977,0.588292146877907,0.523110955066324,0.128030486952453,0.501971128530637,0.414627020226069,0,0.12671609135824,0.152060683942846,0.176121085109925,0,0.00133970139541,0.136848175657835,0.152974083396986,0.137216038960324,0.135595011010768,0.121424244750034,0.212952575031033,0.183512316198013,0.00133970139541,0.170484244389583,0.0977863412706806,0.121424244750034,0.00188111866944411,0.00185875579140484,0.00156588285969616,0.0463595354610364,0.00125270565839331,0.00118529510032956,0.411111843622405,0.269980025038228,0.684293306189933
GO:0005743,0,0.295169968187093,0.210943341103044,0.00193159422945388,0.228315314496658,0.00210054702558923,0.00170308789756871,0.0014400738545201,0.128596930434554,0.130851271101266,0.31258016423131,0.262669111586919,0.600454458339423,0.22865299099394,0.522611303612475,0.74588498079717,0.818746600666753,0.992879130660535,0.606365566015696,0.70295136505347,0.273024414530122,0.224311708032014,0.575787400905527,0.409845457776537,0.229081267745095,0.300741204239022,0.183685777530739,0.00163851404949808,0,0.229099468263748,0.657806309367853,0.577364221632661,0.139070732744456,0.433884682293851,0.447993593985602,0,0.136714403087192,0.166689375877047,0.196652030103434,0,0.00147846218599432,0.156869070851878,0.167787607005378,0.149976221533411,0.147107210456844,0.130574753931411,0.242792583845959,0.205250881703248,0.00147846218599432,0.189089341094726,0.108985091676152,0.130574753931411,0.00216664978821484,0.00213703628531709,0.0017588266682521,0.0505815022667463,0.00137321968401583,0.001292632237136,0.443892692285168,0.319811853630187,0.780195348884322
GO:0001401,0,0.169898879384273,0.138148548177185,0.00121813683344591,0.14157032366417,0.00128322719848483,0.0011231064919844,0.00100237805037514,0.0956027059857162,0.0968430716575701,0.173464023982677,0.156917488513184,0.510499708546273,0.145530435691532,0.463439743469799,0.459991609530974,0.757667953390239,0.606365566015696,0.999953640173571,0.577666463538523,0.160555369627669,0.142373340739297,0.389102703671551,0.555081024626811,0.141864442896089,0.166421538180207,0.123034535191929,0.00109465738846886,0.2330109434538,0.145711171858006,0.435220618915552,0.398487361293102,0.22429149909975,0.404605856922298,0.401754137357566,0.231366177079851,0.210083041530561,0.117686406931536,0.130704789932468,0.338153247468851,0.00102082770521759,0.0960491765476907,0.118232781098697,0.106935365291824,0.221761667016732,0.202968936843203,0.15113234201867,0.135684073898339,0.00102082770521759,0.12842772206088,0.0728667221485903,0.202968936843203,0.0013075983701944,0.0012967535839945,0.00114707889150406,0.233318858908514,0.000969523640538962,0.000928648238548799,0.399020080789387,0.177783659091003,0.485622843437706
GO:0061617,0,0.184783367063747,0.147831166890259,0.00130997142488497,0.152572482370794,0.00138555044189731,0.00120071498851778,0.0010637424424721,0.100496558094226,0.101868072181266,0.189468660702967,0.402339257854097,0.435668796388607,0.156315863699163,0.650331050621882,0.496080785021978,0.598044788655085,0.70295136505347,0.577666463538523,0.999879464451285,0.174173106942443,0.36226974066717,0.414617150413198,0.583262597939065,0.152914148182075,0.181835631695396,0.131260574930002,0.00116825509790499,0.246205159109487,0.156524400876389,0.465090170156425,0.700293869372534,0.236490866088228,0.412018750151588,0.4224678989609,0.244369583294419,0.220748999064482,0.124640932248255,0.13958950029839,0.366669927736036,0.00108454361220375,0.103678563437601,0.125253957116276,0.113095589124841,0.233680075691217,0.212907669144776,0.162797355887826,0.145012647821457,0.00108454361220375,0.136754580087063,0.0777577130260663,0.212907669144776,0.00141400633222821,0.00140133325881128,0.00122815539456257,0.246548958931393,0.00102681638044909,0.000981081226250887,0.419445708323411,0.194148277481728,0.523109228712402
