GO:0046872,GO:0003674,GO:0004867,GO:0030414,GO:0016811,GO:0016787,GO:0017040,GO:0102121,GO:0071633,GO:0005252,GO:0005267,GO:0022841,GO:0008022,GO:0044548,GO:0005216,GO:0022857,GO:0004672,GO:0016740,GO:0000166,GO:0005524,GO:0004674,GO:0016301,GO:0016772,GO:0047323,GO:0048029,GO:0016853,GO:0042806,GO:0016857,GO:0036373,GO:0005179,GO:0042802,GO:0044877,GO:0005158,GO:0002020,GO:0005159,GO:0042803,GO:0008289,GO:0051787,GO:1990381,GO:0005515,GO:0030246,GO:0003756,GO:0003779,GO:0046982,GO:0005178,GO:0019899,GO:0015037,GO:0004656,GO:0003677,GO:0000976,GO:0000981,GO:0003700,GO:1990837,GO:0003676,GO:0003723,GO:0008446,GO:0016829,GO:0070401,GO:0003755,GO:0020037,GO:0003725,GO:0070878,GO:0004525,GO:0008233,GO:0004252,GO:0008236
GO:0004674,0,0,0,0,0.196988290081877,0.308051801223798,0.162311092332615,0,0.14650369054151,0,0,0,0,0,0,0,0.894384339782545,0.618853624349085,0,0,0.987900332659318,0.830884732625142,0.806692568150322,0.459911228236563,0,0.211338878232681,0,0.165179876989301,0,0,0,0,0,0,0,0,0,0,0,0,0,0.376723678965202,0,0,0,0,0.162311092332615,0.357589081875043,0,0,0,0,0,0,0,0.131621775913882,0.218732981295172,0,0.41413128919374,0,0,0,0.152813834049481,0.601011561787494,0.469153751590673,0.497520823321686
GO:0016301,0,0,0,0,0.219244531138348,0.366182250414687,0.177126528754696,0,0.158467557238775,0,0,0,0,0,0,0,0.910987992693633,0.736564178284455,0,0,0.830884732625142,0.964559824321092,0.93920033912031,0.436248439460477,0,0.237168566415273,0,0.180548449810855,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175555499730504,0,0,0,0,0.177126528754696,0.165876446178086,0,0,0,0,0,0,0,0.14119905571575,0.246520513069081,0,0.19473704516123,0,0,0,0.165876446178086,0.296019090036136,0.223591450759958,0.238774267280829
GO:0016772,0,0,0,0,0.222456995966586,0.375232515463221,0.179217400186156,0,0.160139036990875,0,0,0,0,0,0,0,0.886003842871123,0.754917204928382,0,0,0.806692568150322,0.93920033912031,0.959341638945057,0.419949753708095,0,0.240932272045724,0,0.182721384561787,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177609230530448,0,0,0,0,0.179217400186156,0.16770877773066,0,0,0,0,0,0,0,0.142524572044559,0.250589435064116,0,0.19726731744859,0,0,0,0.16770877773066,0.301905552290322,0.226933535186158,0.242589518123874
GO:0047323,0,0,0,0,0.118480610034289,0.151286776775483,0.104989476635434,0,0.0981400270876639,0,0,0,0,0,0,0,0.480593811147681,0.302891968113148,0,0,0.459911228236563,0.436248439460477,0.419949753708095,0.999989128780467,0,0.123525525387954,0,0.106182339924007,0,0,0,0,0,0,0,0,0,0,0,0,0,0.24438232278561,0,0,0,0,0.104989476635434,0.236183864965729,0,0,0,0,0,0,0,0.0912301982500826,0.126015368911524,0,0.259593491724973,0,0,0,0.100931946123148,0.322440745388335,0.280192027920882,0.290069501906524
GO:0048029,0.06440581613836,0,0,0,0,0,0,0,0,0,0,0,0.0489073416970608,0.0403543740296335,0,0,0,0,0.562299734979916,0.507811835183574,0,0,0,0,0.998891135607592,0,0.817699871957035,0,0,0.0482893757286864,0.0594875691041789,0.0577829675193706,0.0425063544038575,0.0474383105245581,0.0405132294710815,0.0552177276947636,0.0572472462678991,0.0418698445629798,0.0408079511778539,0.0765853113049589,0.892821182858834,0,0.0533336952580638,0.0529994719037493,0.0475049933932568,0.0623142740806844,0,0,0.0642480723792524,0.056988546251345,0,0,0.0572197768265446,0.0676238821246046,0.0593312170278127,0,0,0.324930431857826,0,0.0477825192031993,0.0463141893258048,0.0391638377254746,0,0,0,0
GO:0016853,0,0,0,0,0.179391193710838,0.267081673029584,0.150173281787679,0,0.13654240059608,0,0,0,0,0,0,0,0.227026410586984,0.268630863693453,0,0,0.211338878232681,0.237168566415273,0.240932272045724,0.123525525387954,0,0.995716739503838,0,0.794768759463069,0,0,0,0,0,0,0,0,0,0,0,0,0,0.776109265635024,0,0,0,0,0.150173281787679,0.142007614507902,0,0,0,0,0,0,0,0.123525525387954,0.197248384412085,0,0.846933153473464,0,0,0,0.142007614507902,0.22771506580814,0.182290966119749,0.192257836889417
GO:0042806,0.0491166510805362,0,0,0,0,0,0,0,0,0,0,0,0.0395570024915762,0.0337682601774037,0,0,0,0,0.431031017828491,0.398272920143159,0,0,0,0,0.817699871957035,0,0.999945643902333,0,0,0.0391517612951126,0.0462035022514531,0.0451685789908458,0.0352621239141048,0.0385904380304086,0.03387942293369,0.0435857621112964,0.0448405653240729,0.0348229625773222,0.0340852836051645,0.0558956484242544,0.71738729054232,0,0.0424033920796261,0.0421918519508826,0.03863455456766,0.0478908079833761,0,0,0.0490248575478506,0.0446816905474809,0,0,0.0448237103554185,0.0509662660110298,0.0461091274666124,0,0,0.276304952536094,0,0.0388179139664802,0.0378432363567838,0.0329305863716697,0,0,0,0
GO:0016857,0,0,0,0,0.144997328337992,0.197377165533303,0.125293762265718,0,0.115660400521435,0,0,0,0,0,0,0,0.174610177812903,0.198221964860415,0,0,0.165179876989301,0.180548449810855,0.182721384561787,0.106182339924007,0,0.794768759463069,0,0.999728219511665,0,0,0,0,0,0,0,0,0,0,0,0,0,0.6483384429887,0,0,0,0,0.125293762265718,0.119557945487538,0,0,0,0,0,0,0,0.106182339924007,0.156445087743957,0,0.697030885136079,0,0,0,0.119557945487538,0.175017261909858,0.146885918884534,0.153289181266029
GO:0036373,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
GO:0005179,0.0693313818324439,0,0.527511811969151,0.573393781409194,0,0,0,0,0,0,0,0,0.164346618902892,0.134266538491849,0,0,0,0,0.0677188119486084,0.0607172362009517,0,0,0,0,0.0482893757286864,0,0.0391517612951126,0,0,0.997793142434718,0.202396873237915,0.0617166892428771,0.438879454075871,0.159137557567123,0.417337702514462,0.186927186176454,0.0611059294950256,0.139552945561769,0.135846808367487,0.265936964740601,0.0535885018567438,0,0.180150545037604,0.17895150747947,0.493344593191697,0.212724144256788,0,0,0.069148622154962,0.0608112691458914,0,0,0.0610746331739531,0.0730747900610039,0.0634861438313113,0,0,0.0379357483227558,0,0.05044113166646,0.0488076537087935,0.0409321159969109,0,0,0,0
GO:0042802,0.0950098115507196,0,0,0,0,0,0,0,0,0,0,0,0.205825660143722,0.16072901565199,0,0,0,0,0.0920073976495635,0.0795447892326104,0,0,0,0,0.0594875691041789,0,0.0462035022514531,0,0,0.202396873237915,0.974876611658296,0.0812689759771518,0.171614302179903,0.197720219853232,0.161522503368163,0.878206217866819,0.0802132401038366,0.168363800583616,0.162998843062082,0.394622164321648,0.0677393631782185,0,0.23123029040765,0.229258629337343,0.19808476071701,0.287794317575956,0,0,0.0946669381590079,0.0797062578516305,0,0,0.0801593201947052,0.102183082130274,0.0843653006847293,0,0,0.0445194224516437,0,0.0627871083788024,0.0602760556428123,0.0487034180037809,0,0,0,0
GO:0044877,0.0907347823812125,0,0,0,0,0,0,0,0,0,0,0,0.0627297016217758,0.0493217154712795,0,0,0,0,0.0879925817862415,0.0765261017757492,0,0,0,0,0.0577829675193706,0,0.0451685789908458,0,0,0.0617166892428771,0.0812689759771518,0.981562411671341,0.66058840021119,0.0603333082939284,0.0495592229441387,0.0735039573681522,0.0771445832953425,0.0516045899765499,0.0500009697156207,0.116932834105015,0.0655378066749006,0,0.070202748472201,0.0696248098561194,0.75942612937174,0.0866380603568714,0,0,0.0904220196470502,0.0766755361082235,0,0,0.0770947087354601,0.097254893910407,0.0809774461217571,0,0,0.043557783346221,0,0.0608911809776389,0.0585266312567717,0.0475548645456191,0,0,0,0
GO:0005158,0.0580016517939395,0,0,0,0,0,0,0,0,0,0,0,0.14345281721213,0.119988897178595,0,0,0,0,0.0568687470896322,0.0518478757297229,0,0,0,0,0.0425063544038575,0,0.0352621239141048,0,0,0.438879454075871,0.171614302179903,0.66058840021119,0.999619507316331,0.139467988767207,0.372795474271896,0.160361544420359,0.0521310403948346,0.124193186892241,0.121249373214521,0.215214736279172,0.0465589992451142,0,0.15534836379466,0.154455935909168,0.551936755657009,0.178981929586748,0,0,0.0578736875858739,0.0519164276689074,0,0,0.0521082604832247,0.0605986588683458,0.0538535616381155,0,0,0.0342726720280457,0,0.0441647424496418,0.0429074144878061,0.0366998074124801,0,0,0,0
GO:0002020,0.0675903895900582,0,0,0,0,0,0,0,0,0,0,0,0.161249628946215,0.132192320871359,0,0,0,0,0.0660568942557972,0.0593778117784037,0,0,0,0,0.0474383105245581,0,0.0385904380304086,0,0,0.159137557567123,0.197720219853232,0.0603333082939284,0.139467988767207,0.998249733655121,0.132728590988888,0.182931050758971,0.0597494925626291,0.137313540416196,0.854432990132588,0.257921180573048,0.0525424246102006,0,0.176436021322585,0.175285762052006,0.156459560997688,0.644290535981842,0,0,0.0674166817905779,0.0594677386714023,0,0,0.0597195699190549,0.0711433383842858,0.0620232411489595,0,0,0.0374085170318285,0,0.0495132590352103,0.0479383863501808,0.0403189814617086,0,0,0,0
GO:0005159,0.0543528798435024,0,0,0,0,0,0,0,0,0,0,0,0.136332637013198,0.114966684090945,0,0,0,0,0.0533568055350122,0.0489126853630453,0,0,0,0,0.0405132294710815,0,0.03387942293369,0,0,0.417337702514462,0.161522503368163,0.0495592229441387,0.372795474271896,0.132728590988888,0.999815189267932,0.15151568771596,0.04916461884096,0.118820740455707,0.116123343692606,0.199577311238939,0.0441783421222615,0,0.147032595582407,0.146232907572438,0.411372513821826,0.168032664551727,0,0,0.054240493591321,0.04897369076839,0,0,0.0491443571632999,0.0566270134448967,0.0506938085265881,0,0,0.0329650405157858,0,0.0420169889857749,0.0408773987881133,0.0352044495368639,0,0,0,0
GO:0042803,0.0845657386402338,0,0,0,0,0,0,0,0,0,0,0,0.18984808059263,0.15081725989036,0,0,0,0,0.0821788408841906,0.0720906473865361,0,0,0,0,0.0552177276947636,0,0.0435857621112964,0,0,0.186927186176454,0.878206217866819,0.0735039573681522,0.160361544420359,0.182931050758971,0.15151568771596,0.988835257539191,0.0726392552232055,0.157519809318906,0.15281403110658,0.33979413748515,0.062257365581465,0,0.211256517754511,0.806024965447581,0.183243053937589,0.257493537504525,0,0,0.0842939958165197,0.0722232462819878,0,0,0.0725950343448683,0.0902018511648934,0.0760276721230584,0,0,0.04208400413533,0,0.0580493305654453,0.0558964403042251,0.0458036294869379,0,0,0,0
GO:0008289,0.0894207784032893,0,0,0,0,0,0,0,0,0,0,0,0.0620988298859169,0.0489308695902208,0,0,0,0,0.0867562605845839,0.0755892858496624,0,0,0,0,0.0572472462678991,0,0.0448405653240729,0,0,0.0611059294950256,0.0802132401038366,0.0771445832953425,0.0521310403948346,0.0597494925626291,0.04916461884096,0.0726392552232055,0.983334420455287,0.0511768827456621,0.0495993281485986,0.114759583195676,0.0648494984541945,0,0.0694135561675202,0.0688484861476585,0.0598553162158556,0.0854392497444855,0,0,0.0891169936527317,0.0757350804060402,0,0,0.076144006038604,0.0957468281072299,0.0799292221333268,0,0,0.0432526686610808,0,0.0602965720144736,0.0579770974332094,0.0471914164531321,0,0,0,0
GO:0051787,0.0568229231211089,0,0,0,0,0,0,0,0,0,0,0,0.141174503444367,0.118390785417692,0,0,0,0,0.055735165279382,0.0509039616471228,0,0,0,0,0.0418698445629798,0,0.0348229625773222,0,0,0.139552945561769,0.168363800583616,0.0516045899765499,0.124193186892241,0.137313540416196,0.118820740455707,0.157519809318906,0.0511768827456621,0.999695605853065,0.119617737251032,0.210127257832299,0.0457964198264652,0,0.152680048432351,0.151817929468072,0.137489262447736,0.17544921302365,0,0,0.056700101619014,0.0509700386782743,0,0,0.0511549289114045,0.0593131823328961,0.0528359228702879,0,0,0.0338576655360468,0,0.0434779980041925,0.042258928286439,0.0362243471050054,0,0,0,0
GO:1990381,0.0548846746882194,0,0,0,0,0,0,0,0,0,0,0,0.137382907779221,0.115712654499305,0,0,0,0,0.0538691956945683,0.0493429314435665,0,0,0,0,0.0408079511778539,0,0.0340852836051645,0,0,0.135846808367487,0.162998843062082,0.0500009697156207,0.121249373214521,0.854432990132588,0.116123343692606,0.15281403110658,0.0495993281485986,0.119617737251032,0.999793446828865,0.201836116479226,0.0445290319238616,0,0.148254934158802,0.147441931411981,0.133890512826031,0.526543955616906,0,0,0.0547700807956409,0.0494050154825004,0,0,0.0495787066580322,0.05720447641577,0.0511561074475423,0,0,0.0331599071068666,0,0.0423340811672052,0.0411774623772693,0.0354267803783576,0,0,0,0
GO:0005515,0.147659708144451,0,0,0,0,0,0,0,0,0,0,0,0.271888187778194,0.198367286897606,0,0,0,0,0.140532520398846,0.113396258237619,0,0,0,0,0.0765853113049589,0,0.0558956484242544,0,0,0.265936964740601,0.394622164321648,0.116932834105015,0.215214736279172,0.257921180573048,0.199577311238939,0.33979413748515,0.114759583195676,0.210127257832299,0.201836116479226,0.73878633705129,0.0908301121628435,0,0.318046459868751,0.314328233697971,0.258541852256546,0.435880730828666,0,0,0.146833188403233,0.113724684168367,0,0,0.114649249225922,0.16574250775125,0.123452006739896,0,0,0.0534496233957467,0,0.0821427038441637,0.0778971802611952,0.0595963920752313,0,0,0,0
GO:0030246,0.0741906982091683,0,0,0,0,0,0,0,0,0,0,0,0.0543506070572348,0.0439895111770751,0,0,0,0,0.0723471676132401,0.0644118913417005,0,0,0,0,0.892821182858834,0,0.71738729054232,0,0,0.0535885018567438,0.0677393631782185,0.0655378066749006,0.0465589992451142,0.0525424246102006,0.0441783421222615,0.062257365581465,0.0648494984541945,0.0457964198264652,0.0445290319238616,0.0908301121628435,0.996021133650773,0,0.0598726985777505,0.0594518192856752,0.052624241272089,0.0714289890780153,0,0,0.0739814607890347,0.0645177262848925,0,0,0.0648142511265247,0.0784935164601518,0.0675366998741532,0,0,0.0393458264928825,0,0.0529650180921594,0.0511668978163869,0.0425785760208622,0,0,0,0
GO:0003756,0,0,0,0,0.141759446252647,0.19142540428285,0.122868717302595,0,0.113590845183522,0,0,0,0,0,0,0,0.397655508911463,0.192219920637256,0,0,0.376723678965202,0.175555499730504,0.177609230530448,0.24438232278561,0,0.776109265635024,0,0.6483384429887,0,0,0,0,0,0,0,0,0,0,0,0,0,0.999804318048399,0,0,0,0,0.122868717302595,0.274597684635916,0,0,0,0,0,0,0,0.104435514426128,0.152682385194398,0,0.682636999485197,0,0,0,0.117347892140029,0.398557724554735,0.335944435046325,0.350244116081141
GO:0003779,0.0802254863493643,0,0,0,0,0,0,0,0,0,0,0,0.182861960898422,0.146374797177153,0,0,0,0,0.078074194994958,0.0689124225806009,0,0,0,0,0.0533336952580638,0,0.0424033920796261,0,0,0.180150545037604,0.23123029040765,0.070202748472201,0.15534836379466,0.176436021322585,0.147032595582407,0.211256517754511,0.0694135561675202,0.152680048432351,0.148254934158802,0.318046459868751,0.0598726985777505,0,0.992509729741482,0.201125855395374,0.176726244687611,0.244808291450694,0,0,0.0799808812315245,0.0690335777292961,0,0,0.0693731744367354,0.0852806178177029,0.0725013192250256,0,0,0.0409806768671502,0,0.0559707516167788,0.0539666171335938,0.0444996677984832,0,0,0,0
GO:0046982,0.079471630931175,0,0,0,0,0,0,0,0,0,0,0,0.181626682439436,0.145582229207913,0,0,0,0,0.0773600476599555,0.0683554494595493,0,0,0,0,0.0529994719037493,0,0.0421918519508826,0,0,0.17895150747947,0.229258629337343,0.0696248098561194,0.154455935909168,0.175285762052006,0.146232907572438,0.806024965447581,0.0688484861476585,0.151817929468072,0.147441931411981,0.314328233697971,0.0594518192856752,0,0.201125855395374,0.993042419498619,0.17557221050858,0.242599383284478,0,0,0.0792315943034722,0.0684746523963514,0,0,0.0688087590180315,0.0844292701527318,0.0718850815378123,0,0,0.0407830606784941,0,0.0556027741921361,0.0536244395634554,0.0442667525040344,0,0,0,0
