"","Power","SFT.R.sq","slope","truncated.R.sq","mean.k.","median.k.","max.k.","Density","Centralization","Heterogeneity"
"1",1,0.0165269959154608,5.33125637494169,0.983018879702946,754.271126306234,754.430127621632,788.082836092217,0.503182872786013,0.0225862923653484,0.0163151833849433
"2",2,0.0936479046149963,-5.51727710472458,0.935881275129833,390.443898525296,389.11022809246,432.236374520702,0.260469578736021,0.027917460769623,0.0354102970692812
"3",3,0.285261258128289,-5.84994532159279,0.904373006608059,207.597380976908,205.756816870248,251.487050824865,0.138490581038631,0.0293183906190849,0.0633337924707929
"4",4,0.409226791137962,-4.62555917996438,0.903688567057984,113.264964973003,111.417300024138,152.84904311746,0.0755603502154787,0.0264422464182558,0.101504721364553
"5",5,0.5310979064427,-3.85550904183737,0.904491476944513,63.3753031395705,61.8622716052053,96.8140974730701,0.0422783876848369,0.0223371840685288,0.14952902907697
"6",6,0.642956880553596,-3.2971283879412,0.926735624723021,36.3520689234997,34.9853300347305,63.788982639043,0.0242508798689124,0.018327915349581,0.206598888879442
"7",7,0.720204145606519,-2.96333064752464,0.934549525050342,21.3696331571725,20.1618300108273,43.6577977381227,0.0142559260554853,0.0148885402335092,0.271827493985131
"8",8,0.785156829703159,-2.74393954934717,0.949610459747972,12.8705369435019,11.8514424651695,30.7323693907425,0.00858608201701259,0.0119317411745173,0.344310356901908
"9",9,0.826508315268651,-2.50901449088088,0.964370485469454,7.93904345688168,7.10516271006322,22.1718043459934,0.00529622645555816,0.00950751383595629,0.423143057185188
"10",10,0.856988832137511,-2.33097851592711,0.966048351227886,5.01301033121147,4.33987881952608,16.3433711347124,0.00334423637839325,0.00756870455036396,0.507443090396192
"11",11,0.875855949153422,-2.22231760812908,0.960946677305861,3.23825686296129,2.72719156472019,12.2764067063145,0.00216027809403688,0.00603750286796887,0.596381558743696
"12",12,0.88981601502078,-2.11982327969036,0.964454078041336,2.13828302919191,1.73087693742816,9.3758420015706,0.00142647300146225,0.0048347044262566,0.689220583147637
"13",13,0.907158029556662,-2.04526322240616,0.963464349661687,1.44198866487404,1.10636498150059,7.26649872008461,0.000961967087974675,0.00389078481462758,0.785350372186049
"14",14,0.922287698476736,-1.95872415742053,0.965268033586988,0.99210605443148,0.718454166389214,5.70569795970474,0.000661845266465297,0.00314868918304677,0.884320631361365
"15",15,0.932748398431362,-1.89940966585951,0.968922561008385,0.695635272737596,0.471350664261462,4.5327460043763,0.000464066225975714,0.00256319793857145,0.985862818689032
"16",16,0.944218756740978,-1.83721903273579,0.970415385228445,0.496531478040953,0.310479361493202,3.63893387038049,0.000331241813236126,0.00209913132498181,1.0899017173623
"17",17,0.953315625926068,-1.79250085071866,0.973250015317413,0.360387295085756,0.207483980254724,2.94926737654752,0.000240418475707643,0.00172937727162686,1.19655629291845
"18",18,0.952181907815206,-1.74257340020646,0.961538368147273,0.265692119882974,0.139484805982822,2.41107875057059,0.000177246244084706,0.00143312272535559,1.30613059268092
"19",19,0.957878634720183,-1.71038578104677,0.960900726971739,0.198758332527227,0.0956436143357149,1.98677228477435,0.000132593950985475,0.00119439703387959,1.41909563876099
"20",20,0.95879726688981,-1.72932486683094,0.966972165833498,0.150725923990571,0.0661840888568281,1.74216709749257,0.000100550983315925,0.0010630860093881,1.53606317629753
"21",21,0.937288455694105,-1.8193365560244,0.96907867759971,0.115764485839622,0.0461634521009425,1.58766895944526,7.72278090991475e-05,0.000983235245574691,1.65775210207603
"22",22,0.915940885699715,-1.86581346877756,0.951860513892516,0.0899761536846514,0.032551447220293,1.45169436876946,6.00241185354579e-05,0.000909630596021388,1.7849486328058
"23",23,0.930983376816331,-1.85489535834936,0.968440496317216,0.0707154432288756,0.022871934768913,1.33100299777098,4.71750788718316e-05,0.000841874704103204,1.91846181167474
"24",24,0.924939664650179,-1.86645922464248,0.961081739209916,0.0561609232604736,0.0163741302377131,1.22313562796297,3.74655925686948e-05,0.000779541526595722,2.05907665932021
"25",25,0.938938035498371,-1.83492107418633,0.972728435449878,0.0450413599895457,0.0116273245935408,1.12618260238714,3.00476050630725e-05,0.000722204595496417,2.20750791111544
"26",26,0.941202716058067,-1.81006349786054,0.958866137446753,0.0364580367823168,0.00831748254951414,1.03863013807469,2.43215722363688e-05,0.000669453045215976,2.3643576016078
"27",27,0.372111422792475,-2.62032706746671,0.307343230645131,0.0297678318205067,0.00597586981809828,0.959256046175272,1.98584601871292e-05,0.000620900057774229,2.53007960177069
"28",28,0.373652388937429,-2.55867710352837,0.307179211829053,0.0245052255412451,0.00436232991889152,0.887057449300557,1.63477155044997e-05,0.000576186677027662,2.70495357092362
"29",29,0.374017050413338,-2.49946975637939,0.304679426323357,0.0203295953602034,0.00319241865465236,0.821199639985542,1.35621049767868e-05,0.000534982853249745,2.88906977913182
"30",30,0.375288767184499,-2.4297839012995,0.303095533521311,0.0169891541580885,0.00230955332834026,0.760979182861548,1.13336585444219e-05,0.000496986884471797,3.08232510185604
